Journal,Term_1,Term_2,Term_3,Term_4,Term_5,Term_6,Term_7,Term_8,Term_9,Term_10,Term_11,Term_12,Term_13,Term_14,Term_15,Term_16,Term_17,Term_18,Term_19,Term_20,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Score_11,Score_12,Score_13,Score_14,Score_15,Score_16,Score_17,Score_18,Score_19,Score_20
Journal of Empirical Finance ,risk,model,volatility,returns,market,stock,firms,models,trading,information,financial,markets,price,investors,return,data,liquidity,stocks,evidence,using,29.227100659785975,28.578033438034034,27.131185865167712,25.104975436746265,24.14117105261009,21.97087365451767,20.957727000254856,16.767135878911272,16.332257502777022,15.261786683945044,14.736102506586832,14.36232856911792,14.208488203637998,13.628016001017361,13.537242359882597,13.525289965496112,13.497295660952902,13.46622295585677,12.798593627590932,12.770091664546868
Journal of Economic Behavior and Organization ,model,information,social,abstract,market,effect,behavior,risk,firms,effects,evidence,results,paper,preferences,experiment,economic,study,data,financial,individuals,74.32877649913084,67.41970062295228,65.25960440469169,60.000727416225295,59.848957215707166,58.891014495382144,56.766872425621976,55.18757859521598,54.59934136505367,52.893392318607084,51.559315930899814,51.41369451332035,48.78111004565187,48.02509882503344,47.802215767505274,46.80038559499494,45.02756618959332,44.86730318429111,42.831142251652736,42.46558624580293
Journal of Economic Dynamics and Control ,model,policy,market,optimal,models,monetary,abstract,risk,financial,price,paper,shocks,inflation,equilibrium,rate,capital,investment,growth,firms,information,60.83502779341072,46.5665417353479,37.49900947672239,37.182237089518,34.29847113769776,33.00177963082492,32.70379820163766,32.0282770585177,30.450486373288193,29.708573765726445,29.62237333489263,28.187835476402366,27.388326641398272,27.378758246781942,27.1682503372651,25.961256668549023,25.771685112742905,25.562134211382435,24.287801623538986,23.660041290632368
Journal of Economic Theory ,equilibrium,information,model,agents,abstract,games,equilibria,optimal,preferences,paper,utility,set,market,economic,game,price,conditions,choice,players,risk,81.53652267643606,70.27206205342695,61.848797465553055,57.9739453954601,56.811137441645364,48.88571129811516,48.56264865600365,48.102883189676746,43.186869429559295,42.70496410500639,42.055837872904966,41.43324329260639,40.8193369701023,37.48820040637529,37.16025548392695,36.751716526043694,35.512646456551785,32.46948735479543,32.419411535435536,32.37380172766403
Journal of Environmental Economics and Management ,environmental,pollution,emissions,model,policy,abstract,resource,effects,climate,effect,air,energy,firms,tax,paper,costs,water,price,optimal,results,34.83817370173593,32.709122624897596,24.215836890155877,24.155297697052404,24.139757517501753,21.598227510746813,21.165699494406148,20.04448079482389,19.932188561537796,19.67701553503604,19.52665560372324,19.364121330372708,19.1462405792565,19.0723085156047,19.02811813097018,18.61242852708748,18.517481007902962,18.097687471058375,18.079696064726733,17.752243918125302
Journal of Health Economics ,health,care,insurance,effects,effect,evidence,abstract,data,patients,use,using,mortality,hospital,quality,results,increase,paper,impact,risk,medical,57.01720893981891,35.52960048038301,26.912429276740085,25.90050444887292,20.60114729474793,19.426472987942205,19.01548152774455,18.98753476699689,18.605870339941283,18.487378145957866,16.811909353291504,16.77200437436713,16.259780179735124,15.896849506723317,15.512727430304409,15.340859172892648,15.012681124367035,14.82440750484309,14.803356101873492,14.637599423458006
Journal of International Economics ,trade,model,firms,exchange,countries,rate,foreign,capital,policy,international,effects,market,abstract,paper,domestic,welfare,export,shocks,country,tariff,85.03931708471808,47.938628651827905,45.92075103881347,41.524309341574515,40.07339085731267,37.44269481595968,37.16831167272737,37.03710066272771,36.54179672097192,33.865249985396424,32.57971517573009,32.05853751698263,31.66587248775158,30.703707031274252,28.89952119554701,28.34372231416231,27.85521210378367,27.30992418043867,26.47144779922463,24.73335478039246
Journal of International Money and Finance ,exchange,rate,policy,financial,monetary,risk,market,countries,capital,model,shocks,rates,global,bank,foreign,markets,effects,currency,crisis,inflation,59.14568960236138,52.11638139477913,51.0777831574007,46.33696382381787,46.121324897469904,41.64911924851197,39.98336311679566,39.80945968665349,37.395282863416696,37.071005708571235,34.87441757631755,34.143369595571194,32.89845260576141,31.45231915039463,31.348655145560183,31.330032240512466,30.535061410942124,29.48845213588983,28.436352403213814,28.330261206759253
Journal of Mathematical Economics ,equilibrium,utility,model,abstract,equilibria,agents,preferences,existence,games,set,paper,optimal,information,conditions,risk,function,choice,functions,economy,theorem,37.247538599523544,25.724469195318164,25.697584845553635,24.973119185940917,24.63373790964718,23.270614152459448,23.218964570384745,22.58050597138969,22.319575473940635,20.800157942734376,20.236174841722676,20.077392722522486,18.128584453285566,17.798589431135266,17.767285778045505,17.74094806638485,17.26749489374579,16.759239146328635,15.661526990445735,15.658372607453627
Journal of Monetary Economics ,policy,model,monetary,inflation,growth,shocks,rate,rates,money,price,effects,abstract,capital,data,financial,risk,bank,firms,market,paper,38.71405054417373,37.69705110176818,35.81621287857307,27.71711660883382,27.343670056335824,25.61182624746465,24.49409405289701,22.905144683977216,22.43941569226655,21.18195046909591,20.749436733117474,20.235543363843455,20.21633353075631,19.799552641063023,19.46476592543926,19.22990275541536,18.971020098901146,18.96830675369389,18.685601571318976,18.606419884056532
