Journal,Term_1,Term_2,Term_3,Term_4,Term_5,Term_6,Term_7,Term_8,Term_9,Term_10,Term_11,Term_12,Term_13,Term_14,Term_15,Term_16,Term_17,Term_18,Term_19,Term_20,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Score_11,Score_12,Score_13,Score_14,Score_15,Score_16,Score_17,Score_18,Score_19,Score_20
Journal of Empirical Finance ,returns,volatility,risk,stock,market,model,firms,trading,stocks,return,portfolio,abstract,financial,models,investors,information,liquidity,markets,performance,equity,0.04584129198658534,0.04395647903054704,0.04337623186648116,0.039483636548810916,0.03328902624196406,0.02943243884391737,0.025986720569612338,0.02388221800734703,0.022601135001423422,0.02208492544760144,0.01997553674240049,0.019946430424531644,0.019803005062760424,0.019584047455711722,0.019522934845277198,0.018685742086196347,0.018395127720154777,0.017549979307386828,0.01636060744181685,0.016158442728506046
Journal of Economic Behavior and Organization ,abstract,social,behavior,experiment,information,model,effect,subjects,experimental,preferences,evidence,market,individuals,risk,effects,results,game,firms,study,gender,0.023319370359547863,0.019256956825590258,0.018949067880661415,0.01855187363749783,0.017760908474732346,0.016854251540166704,0.01642107945318678,0.015867784671837405,0.014672623627573333,0.014432801584043002,0.014244684632799683,0.014129980962371846,0.014013268889463831,0.013510401037077508,0.013340154830632986,0.013143792553966572,0.01302138662947493,0.012986848777084312,0.012104356036314145,0.011921893120668242
Journal of Economic Dynamics and Control ,model,optimal,policy,abstract,monetary,models,market,shocks,risk,inflation,financial,equilibrium,dynamic,price,paper,rate,investment,expectations,capital,volatility,0.04811084074450517,0.029237835299635986,0.029105607127111806,0.02877513789367455,0.024525220312305064,0.022308123268732,0.02203671793512182,0.020615781037330753,0.020011351512828467,0.019069704277032817,0.018820973594925017,0.018548960710150324,0.018404729597785094,0.01830993712247735,0.017919356564791773,0.01789599307284062,0.016389307296000667,0.01597886784296158,0.01590397829266174,0.015208372075963192
Journal of Economic Theory ,equilibrium,agents,abstract,information,equilibria,games,model,optimal,utility,preferences,game,set,numbers,players,conditions,regular,economic,paper,condition,mechanism,0.04631546449705765,0.03246113246455911,0.03206957247251389,0.029034966514033412,0.02778164694420908,0.0253678756142209,0.02322386875517528,0.022287238820769505,0.02112429134145412,0.02081098329984935,0.018419966360392816,0.018049313908520524,0.017621579377086388,0.016004542371872956,0.01583294502137604,0.01495069782135989,0.014759679054935103,0.014051960833021274,0.014010150801827825,0.013979866180447184
Journal of Environmental Economics and Management ,environmental,pollution,emissions,abstract,resource,air,climate,policy,water,model,carbon,costs,effects,tax,optimal,effect,energy,change,use,price,0.04864172718232616,0.046421846563805956,0.027607423396359892,0.02556787529025134,0.024853058207980158,0.02348154311611721,0.02292104237821331,0.02140760076449876,0.020475707354681745,0.018035076396595334,0.017765063197054513,0.017510047397283075,0.016580150305600023,0.016506402087610703,0.01635511592595146,0.016224249546222563,0.015782801996000868,0.01568029738102461,0.01469421571126622,0.014642178678566382
Journal of Health Economics ,health,care,insurance,patients,effects,hospital,mortality,abstract,medical,effect,hospitals,evidence,data,use,physicians,children,patient,using,birth,increase,0.1266408882869858,0.06282546991712802,0.03636620392775425,0.03268042000275527,0.026698300913201665,0.025507746473744968,0.024807463817194217,0.024289459600382295,0.02311723778382099,0.021173590335197636,0.021027581085186313,0.019995645117499947,0.018855595176471993,0.018604288731900752,0.017753038263620458,0.017120107331395698,0.017058966206826603,0.016151881701719974,0.015577358145144764,0.015568381071390627
Journal of International Economics ,trade,foreign,exchange,countries,international,model,firms,abstract,rate,export,capital,domestic,country,tariff,policy,welfare,tariffs,effects,paper,shocks,0.09875256129990365,0.03595292560449255,0.034131862298904886,0.033058881417249664,0.032904991774804514,0.032576537339177106,0.03155760919066807,0.027275875165196924,0.02618194104842955,0.02553513615052058,0.02449420661450667,0.024404303425719788,0.02256980989974987,0.0220053564044137,0.021933925176229236,0.020737405874884398,0.02030644464850473,0.020085563507444865,0.019446267627580095,0.01932656951845346
Journal of International Money and Finance ,exchange,rate,monetary,financial,policy,countries,risk,currency,foreign,global,market,shocks,bank,capital,rates,crisis,markets,international,banks,abstract,0.058783403001696995,0.04374052007444641,0.04034653980172598,0.03958630688740287,0.03489791788244156,0.0328484074125978,0.029467202018844875,0.029055096869241688,0.028814197418833166,0.027411353582056732,0.027371669659429762,0.027025044613964683,0.026408637829400155,0.025799831286297484,0.025528898653707516,0.025129162996059468,0.02349041180517122,0.023118162285439305,0.022309517500762936,0.0215281147343546
Journal of Mathematical Economics ,equilibrium,utility,equilibria,abstract,existence,agents,preferences,games,set,theorem,optimal,model,functions,function,conditions,game,choice,players,space,preference,0.04532414120314287,0.03244979860704451,0.03162924596085094,0.03144917355312826,0.030305354663288642,0.029185892258400372,0.02705970043867321,0.026791124417229924,0.022796170559471425,0.02135097472990026,0.01970267746335233,0.01968343094324884,0.019369179431446133,0.019048079745687334,0.018935221392899184,0.017163204969622422,0.01641820902971903,0.016210633731152037,0.01614430676200904,0.015799426247401487
Journal of Monetary Economics ,monetary,model,policy,inflation,shocks,money,growth,abstract,rate,rates,bank,aggregate,real,capital,output,effects,price,financial,expectations,data,0.047228723545565274,0.039885356833066196,0.039449063872194004,0.03236189981375947,0.030869514666248994,0.026833122282102006,0.026087411495953162,0.0257701942387814,0.024898634649563902,0.024191589978314842,0.02160160347768569,0.019388196296785412,0.018981101017206698,0.018734862051041835,0.018029912165807946,0.017884732887790352,0.01769111767293828,0.01741943833731313,0.017115579889421837,0.016985686920268923
